"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 15:43:53 UYT 2019","Wed Apr 17 15:43:56 UYT 2019","2538","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","I log price and savings","I log price and savings",""
"passed","Wed Apr 17 15:43:18 UYT 2019","Wed Apr 17 15:43:22 UYT 2019","4074","","End to end testing on BestBuy Performing a search operation and adding items to Cart","","End to end testing on BestBuy Performing a search operation and adding items to Cart","I click Add to Cart button on first item","I click Add to Cart button on first item",""
"passed","Wed Apr 17 15:44:35 UYT 2019","Wed Apr 17 15:44:38 UYT 2019","3213","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","I click Search button","I click Search button",""
"passed","Wed Apr 17 15:43:25 UYT 2019","Wed Apr 17 15:43:25 UYT 2019","145","","End to end testing on BestBuy Performing a search operation and adding items to Cart","","End to end testing on BestBuy Performing a search operation and adding items to Cart","I remove added item from cart","I remove added item from cart",""
"passed","Wed Apr 17 15:42:11 UYT 2019","Wed Apr 17 15:42:23 UYT 2019","11717","","End to end testing on BestBuy Performing a basic login and validating user","","End to end testing on BestBuy Performing a basic login and validating user","I click Account Home link","I click Account Home link",""
"passed","Wed Apr 17 15:44:23 UYT 2019","Wed Apr 17 15:44:24 UYT 2019","170","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","I select Price Drop on filters","I select Price Drop on filters",""
"passed","Wed Apr 17 15:42:06 UYT 2019","Wed Apr 17 15:42:06 UYT 2019","236","","End to end testing on BestBuy Performing a basic login and validating user","","End to end testing on BestBuy Performing a basic login and validating user","I fill Password input with Oktana2019","I fill Password input with Oktana2019",""
"passed","Wed Apr 17 15:41:51 UYT 2019","Wed Apr 17 15:42:01 UYT 2019","9316","","End to end testing on BestBuy Performing a basic login and validating user","","End to end testing on BestBuy Performing a basic login and validating user","I am on the home page","I am on the home page",""
"passed","Wed Apr 17 15:42:49 UYT 2019","Wed Apr 17 15:42:49 UYT 2019","612","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","I validate item is added to saved items and log it to console","I validate item is added to saved items and log it to console",""
"passed","Wed Apr 17 15:42:49 UYT 2019","Wed Apr 17 15:42:50 UYT 2019","1079","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","I validate list is empty","I validate list is empty",""
"passed","Wed Apr 17 15:42:32 UYT 2019","Wed Apr 17 15:42:40 UYT 2019","7449","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","I should see a list of search results","I should see a list of search results",""
"passed","Wed Apr 17 15:43:42 UYT 2019","Wed Apr 17 15:43:50 UYT 2019","7252","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","I click Add to Cart button on first item","I click Add to Cart button on first item",""
"passed","Wed Apr 17 15:44:43 UYT 2019","Wed Apr 17 15:44:43 UYT 2019","362","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","I select Top-Rated on filters","I select Top-Rated on filters",""
"passed","Wed Apr 17 15:44:45 UYT 2019","Wed Apr 17 15:45:35 UYT 2019","50083","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","I should log Rating for first item","I should log Rating for first item",""
"passed","Wed Apr 17 15:43:22 UYT 2019","Wed Apr 17 15:43:25 UYT 2019","2769","","End to end testing on BestBuy Performing a search operation and adding items to Cart","","End to end testing on BestBuy Performing a search operation and adding items to Cart","I click Go to cart link on confirmation modal","I click Go to cart link on confirmation modal",""
"passed","Wed Apr 17 15:43:34 UYT 2019","Wed Apr 17 15:43:42 UYT 2019","8849","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","I should see a list of search results","I should see a list of search results",""
"passed","Wed Apr 17 15:42:40 UYT 2019","Wed Apr 17 15:42:42 UYT 2019","2721","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","","End to end testing on BestBuy Performing a search operation and adding items to Saved Items section","I sort results by Customer Rating","I sort results by Customer Rating",""
"passed","Wed Apr 17 15:44:31 UYT 2019","Wed Apr 17 15:44:33 UYT 2019","1166","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","","End to end testing on BestBuy Performing a search operation and validating filters on side-bar","I am on the home page","I am on the home page",""
"passed","Wed Apr 17 15:42:06 UYT 2019","Wed Apr 17 15:42:06 UYT 2019","377","","End to end testing on BestBuy Performing a basic login and validating user","","End to end testing on BestBuy Performing a basic login and validating user","I fill Email Address input with erick@oktana.io","I fill Email Address input with erick@oktana.io",""
"passed","Wed Apr 17 15:43:56 UYT 2019","Wed Apr 17 15:43:57 UYT 2019","987","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","","End to end testing on BestBuy Performing a search operation and adding items to Cart, increasing quantity and clearing cart after","I remove added item from cart","I remove added item from cart",""
